yourlist:M20191006E5A08BB0B2D1C45B0C7BC3B55FD265564BC80E0	Entry	Protein names
P49418	P49418	Amphiphysin
Q99961	Q99961	Endophilin-A2 (EEN fusion partner of MLL) (Endophilin-2) (Extra eleven-nineteen leukemia fusion gene protein) (EEN) (SH3 domain protein 2B) (SH3 domain-containing GRB2-like protein 1)
P50570	P50570	Dynamin-2 (EC 3.6.5.5)
Q9UQ16	Q9UQ16	Dynamin-3 (EC 3.6.5.5) (Dynamin, testicular) (T-dynamin)
Q13643	Q13643	Four and a half LIM domains protein 3 (FHL-3) (Skeletal muscle LIM-protein 2) (SLIM-2)
P42566	P42566	Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p)
P33993	P33993	DNA replication licensing factor MCM7 (EC 3.6.4.12) (CDC47 homolog) (P1.1-MCM3)
P10275	P10275	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)
Q07889	Q07889	Son of sevenless homolog 1 (SOS-1)
P00519	P00519	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)
Q8NFH8	Q8NFH8	RalBP1-associated Eps domain-containing protein 2 (Partner of RalBP1) (RalBP1-interacting protein 2)
Q9Y4J8	Q9Y4J8	Dystrobrevin alpha (DTN-A) (Alpha-dystrobrevin) (Dystrophin-related protein 3)
Q13474	Q13474	Dystrophin-related protein 2 (DRP-2)
P11532	P11532	Dystrophin
P46939	P46939	Utrophin (Dystrophin-related protein 1) (DRP-1)
P27986	P27986	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)
P07237	P07237	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)
P27797	P27797	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)
